gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0639958 	0.011652   	0.00486689	0.0662958 	1714700757.896977 
1  	40    	0.0580253 	0.0207258  	0.00486689	0.0662958 	1714700855.734466 
2  	40    	0.0376681 	0.0301223  	0.00486361	0.0662958 	1714701009.3952663
3  	40    	0.0142719 	0.0208405  	0.00486689	0.0662958 	1714701159.7721245
4  	40    	0.0050261 	0.000633778	0.00486689	0.00910049	1714701344.6675334
5  	40    	0.00488154	4.82268e-05	0.00482266	0.00522817	1714701497.023011 
6  	40    	0.00486415	1.53402e-05	0.00481158	0.00494068	1714701880.175115 
7  	40    	0.00485217	2.62535e-05	0.00478859	0.00494986	1714702139.0612335
8  	40    	0.00484257	5.9531e-05 	0.00471574	0.00523662	1714702444.9970617
9  	40    	0.00482174	2.62744e-05	0.00471574	0.00489735	1714702702.4550433
