gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0380751 	0.00787223 	0.00324884	0.0398809 	1716198188.8059418
1  	40    	0.0349741 	0.0122982  	0.00324884	0.0398809 	1716200390.9416113
2  	40    	0.027109  	0.0169605  	0.00324884	0.0398809 	1716202625.7909667
3  	40    	0.0124455 	0.0148335  	0.00309663	0.0398809 	1716207908.7540252
4  	40    	0.00358685	0.000801727	0.00309663	0.00649876	1716213639.2659671
5  	40    	0.00321854	6.29304e-05	0.0030721 	0.00334593	1716219236.1567454
6  	40    	0.00318236	7.40099e-05	0.0030721 	0.00329023	1716223194.9324267
7  	40    	0.00311212	5.22695e-05	0.0030721 	0.00326619	1716226628.9878275
8  	40    	0.0030827 	2.03908e-05	0.0030721 	0.00315695	1716230174.5524395
9  	40    	0.0030742 	1.52293e-05	0.00303425	0.0031917 	1716235375.8429   
