iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0007,64,0.04393138018897177,0,val_loss,0.03988092020153999,749
001,0009,1024,0.04502420916728939,0,val_loss,0.03988092020153999,352
001,0049,256,0.031384772528833545,0,val_loss,0.03988092020153999,456
001,0073,512,0.0690927265436271,0,val_loss,0.03988092020153999,346
001,0051,128,0.019024352566337242,0,val_loss,0.03988092020153999,509
001,0065,1024,0.006142037178555344,0,val_loss,0.03988092020153999,335
001,0025,512,0.057161906215718476,0,val_loss,0.03988092020153999,389
001,0075,32,0.07737963238188318,0,val_loss,0.03988092020153999,1577
001,0042,32,0.09241176091977367,0,val_loss,0.03988092020153999,1240
001,0062,64,0.005317957540628552,0,val_loss,0.03988092020153999,1073
001,0024,256,0.03564014411767362,0,val_loss,0.03988092020153999,390
001,0016,128,0.05754291825064048,0,val_loss,0.03988092020153999,513
001,0037,64,0.09719249214173431,0,val_loss,0.03988092020153999,845
001,0045,32,0.03696332787060328,0,val_loss,0.03988092020153999,1405
001,0053,512,0.019576177869944658,0,val_loss,0.03988092020153999,346
001,0055,64,0.04123377686864542,0,val_loss,0.03988092020153999,825
001,0050,512,0.06436505654400877,0,val_loss,0.03988092020153999,382
001,0064,1024,0.008572223244421927,0,val_loss,0.03988092020153999,387
001,0072,256,0.020583779692539626,0,val_loss,0.03988092020153999,390
001,0058,512,0.09697842156533844,0,val_loss,0.03988092020153999,366
001,0010,512,0.04254639615107224,0,val_loss,0.03988092020153999,375
001,0063,256,0.0030417782908619155,0,val_loss,0.03988092020153999,388
001,0052,256,0.013467586582472347,0,val_loss,0.03988092020153999,485
001,0047,32,0.025861547864064964,0,val_loss,0.03988092020153999,1216
001,0033,128,0.09590313086993286,0,val_loss,0.03988092020153999,516
001,0015,1024,0.08823349417607455,0,val_loss,0.03988092020153999,339
001,0067,256,0.001806236863804308,0,val_loss,0.003915932960808277,1654
002,0035,512,0.04254639615107224,0,val_loss,0.03988092020153999,324
002,0003,256,0.09094424201554159,0,val_loss,0.03988092020153999,363
002,0025,256,0.006986798038841245,0,val_loss,0.03988092020153999,397
002,0034,512,0.09276622402979956,0,val_loss,0.03988092020153999,357
002,0006,64,0.022951226360322895,0,val_loss,0.03988092020153999,712
002,0006,64,0.022951226360322895,0,val_loss,0.03988092020153999,712
002,0013,32,0.08496873766555019,0,val_loss,0.03988092020153999,1193
002,0015,512,0.019318669172975634,0,val_loss,0.03988092020153999,335
002,0038,128,0.09350084267340682,0,val_loss,0.03988092020153999,496
002,0007,512,0.03564014411767362,0,val_loss,0.03988092020153999,321
002,0032,32,0.06095997161516151,0,val_loss,0.03988092020153999,1169
002,0032,32,0.06095997161516151,0,val_loss,0.03988092020153999,1169
002,0036,1024,0.0677295550604055,0,val_loss,0.03988092020153999,335
002,0000,128,0.043364635266167656,0,val_loss,0.03988092020153999,491
002,0037,128,0.05103913339221486,0,val_loss,0.03988092020153999,541
002,0039,1024,0.043364635266167656,0,val_loss,0.03988092020153999,317
002,0028,512,0.019318669172975634,0,val_loss,0.03988092020153999,312
002,0028,512,0.019318669172975634,0,val_loss,0.03988092020153999,312
003,0025,32,0.029644535736480338,0,val_loss,0.03988092020153999,1200
003,0023,1024,0.0064340244741245495,0,val_loss,0.03988092020153999,322
003,0031,32,0.09712832287627209,0,val_loss,0.03988092020153999,1205
003,0017,128,0.05092381215302183,0,val_loss,0.03988092020153999,541
003,0013,128,0.02649502584599559,0,val_loss,0.03988092020153999,498
003,0026,512,0.047189114675262406,0,val_loss,0.03988092020153999,332
003,0009,64,0.022800747924602086,0,val_loss,0.03988092020153999,737
003,0016,32,0.06095997161516151,0,val_loss,0.03988092020153999,1221
003,0021,128,0.02603098911995904,0,val_loss,0.03988092020153999,526
003,0010,128,0.031227011632387742,0,val_loss,0.03988092020153999,553
003,0032,32,0.09241176091977367,0,val_loss,0.03988092020153999,1314
003,0027,256,0.006986798038841245,0,val_loss,0.03988092020153999,360
003,0003,512,0.054006376176145295,0,val_loss,0.03988092020153999,316
003,0030,512,0.08597849032086789,0,val_loss,0.03988092020153999,329
003,0037,64,0.0882534670878698,0,val_loss,0.03988092020153999,738
003,0004,256,0.048933717294561044,0,val_loss,0.03988092020153999,371
003,0002,512,0.05092381215302183,0,val_loss,0.03988092020153999,361
003,0036,32,0.006001263657064341,0,val_loss,0.03988092020153999,1212
004,0034,32,0.07737963238188318,0,val_loss,0.03988092020153999,1208
004,0003,256,0.09375724514985515,0,val_loss,0.03988092020153999,366
004,0022,256,0.006986798038841245,0,val_loss,0.03988092020153999,370
004,0022,256,0.006986798038841245,0,val_loss,0.03988092020153999,370
004,0027,32,0.025861547864064964,0,val_loss,0.03988092020153999,1208
004,0025,256,0.006986798038841245,0,val_loss,0.03988092020153999,367
004,0025,256,0.006986798038841245,0,val_loss,0.03988092020153999,367
004,0011,512,0.04815634391145914,0,val_loss,0.03988092020153999,340
004,0024,256,0.026861418467238402,0,val_loss,0.03988092020153999,361
004,0026,256,0.006986798038841245,0,val_loss,0.03988092020153999,361
004,0020,32,0.05092381215302183,0,val_loss,0.03988092020153999,1209
004,0007,64,0.006001263657064341,0,val_loss,0.03988092020153999,737
004,0001,256,0.025232421825710866,0,val_loss,0.03988092020153999,366
004,0001,256,0.025232421825710866,0,val_loss,0.03988092020153999,366
004,0005,64,0.09241176091977367,0,val_loss,0.03988092020153999,736
004,0012,64,0.03749276731287528,0,val_loss,0.03988092020153999,729
004,0014,64,0.09241176091977367,0,val_loss,0.03988092020153999,708
004,0014,64,0.09241176091977367,0,val_loss,0.03988092020153999,708
004,0039,64,0.04123377686864542,0,val_loss,0.03988092020153999,707
004,0039,64,0.04123377686864542,0,val_loss,0.03988092020153999,707
004,0033,1024,0.055254436379421755,0,val_loss,0.03988092020153999,311
004,0002,512,0.06436505654400877,0,val_loss,0.03988092020153999,325
004,0015,1024,1e-06,0,val_loss,0.008291970938444138,1390
004,0031,64,1e-06,0,val_loss,0.0065763117745518684,3395
004,0009,128,1e-06,0,val_loss,0.006439769174903631,2169
004,0009,128,1e-06,0,val_loss,0.006439769174903631,2169
004,0019,128,1e-06,0,val_loss,0.00635159108787775,2182
004,0019,128,1e-06,0,val_loss,0.00635159108787775,2182
004,0018,64,0.0017871099176950116,0,val_loss,0.005450282245874405,1211
005,0038,256,0.001806236863804308,0,val_loss,0.03988092020153999,361
005,0038,256,0.001806236863804308,0,val_loss,0.03988092020153999,361
005,0019,512,0.09305628263887643,0,val_loss,0.03988092020153999,317
005,0019,512,0.09305628263887643,0,val_loss,0.03988092020153999,317
005,0018,512,0.07906641933668118,0,val_loss,0.03988092020153999,347
005,0020,256,0.009603125184905225,0,val_loss,0.03988092020153999,419
005,0009,512,0.034420319981557645,0,val_loss,0.03988092020153999,318
005,0009,512,0.034420319981557645,0,val_loss,0.03988092020153999,318
005,0037,256,0.006986798038841245,0,val_loss,0.03988092020153999,359
005,0037,256,0.006986798038841245,0,val_loss,0.03988092020153999,359
005,0028,32,0.04458490855650167,0,val_loss,0.03988092020153999,1208
005,0025,256,0.06436505654400877,0,val_loss,0.03988092020153999,368
005,0032,32,0.06095997161516151,0,val_loss,0.03988092020153999,1194
005,0005,32,0.07737963238188318,0,val_loss,0.03988092020153999,1187
005,0005,32,0.07737963238188318,0,val_loss,0.03988092020153999,1187
005,0014,512,1e-06,0,val_loss,0.007459525018930435,1423
005,0013,256,1e-06,0,val_loss,0.007421932183206081,1758
005,0013,256,1e-06,0,val_loss,0.007421932183206081,1758
005,0039,256,1e-06,0,val_loss,0.007193632423877716,1586
005,0039,256,1e-06,0,val_loss,0.007193632423877716,1586
005,0033,128,1e-06,0,val_loss,0.006779034622013569,2437
005,0026,128,1e-06,0,val_loss,0.006685961037874222,2231
005,0012,128,1e-06,0,val_loss,0.006649733986705542,2204
005,0010,128,1e-06,0,val_loss,0.0065684691071510315,2372
005,0010,128,1e-06,0,val_loss,0.0065684691071510315,2372
005,0022,32,0.0017871099176950116,0,val_loss,0.0058653270825743675,2497
005,0008,256,0.001806236863804308,0,val_loss,0.003975683823227882,1679
005,0031,256,0.001806236863804308,0,val_loss,0.003851145738735795,1630
005,0016,64,0.0008922585651154918,0,val_loss,0.0035195695236325264,3308
005,0016,64,0.0008922585651154918,0,val_loss,0.0035195695236325264,3308
005,0027,128,0.0008922585651154918,0,val_loss,0.003339180490002036,2392
005,0027,128,0.0008922585651154918,0,val_loss,0.003339180490002036,2392
005,0006,128,0.0008922585651154918,0,val_loss,0.0033004048746079206,2257
005,0011,128,0.0008922585651154918,0,val_loss,0.00327763007953763,2235
005,0036,128,0.0008922585651154918,0,val_loss,0.0032746053766459227,2232
005,0007,256,0.00011333491817844762,0,val_loss,0.0032086907885968685,1729
005,0007,256,0.00011333491817844762,0,val_loss,0.0032086907885968685,1729
006,0027,128,0.015038173773525032,0,val_loss,0.03988092020153999,480
006,0027,128,0.015038173773525032,0,val_loss,0.03988092020153999,480
006,0029,256,0.004804625981229371,0,val_loss,0.03988092020153999,364
006,0029,256,0.004804625981229371,0,val_loss,0.03988092020153999,364
006,0030,256,0.001806236863804308,0,val_loss,0.03988092020153999,392
006,0030,256,0.001806236863804308,0,val_loss,0.03988092020153999,392
006,0038,128,0.0038500260924981345,0,val_loss,0.03988092020153999,485
006,0035,128,0.005213953934371439,0,val_loss,0.03988092020153999,540
006,0035,128,0.005213953934371439,0,val_loss,0.03988092020153999,540
006,0012,128,0.009272912260208235,0,val_loss,0.03988092020153999,482
006,0012,128,0.009272912260208235,0,val_loss,0.03988092020153999,482
006,0008,1024,1e-06,0,val_loss,0.008279316127300262,1389
006,0036,256,1e-06,0,val_loss,0.007136475760489702,1762
006,0017,256,1e-06,0,val_loss,0.006940322928130627,1836
006,0013,128,1e-06,0,val_loss,0.006876575294882059,2171
006,0013,128,1e-06,0,val_loss,0.006876575294882059,2171
006,0023,128,1e-06,0,val_loss,0.006813739892095327,2186
006,0023,128,1e-06,0,val_loss,0.006813739892095327,2186
006,0010,128,1e-06,0,val_loss,0.006657802499830723,2442
006,0000,64,1e-06,0,val_loss,0.006262861657887697,3564
006,0000,64,1e-06,0,val_loss,0.006262861657887697,3564
006,0031,256,0.001806236863804308,0,val_loss,0.004163418896496296,1612
006,0031,256,0.001806236863804308,0,val_loss,0.004163418896496296,1612
006,0005,32,0.0008922585651154918,0,val_loss,0.00399818504229188,5596
006,0005,32,0.0008922585651154918,0,val_loss,0.00399818504229188,5596
006,0028,64,0.0008922585651154918,0,val_loss,0.003513677977025509,3403
006,0007,64,0.0008922585651154918,0,val_loss,0.003482049098238349,3425
006,0018,256,0.0014258032080513322,0,val_loss,0.0034713197965174913,1635
006,0039,512,0.00011333491817844762,0,val_loss,0.0034213420003652573,1520
006,0021,128,0.0008922585651154918,0,val_loss,0.003340503666549921,2166
006,0021,128,0.0008922585651154918,0,val_loss,0.003340503666549921,2166
006,0006,128,0.0008922585651154918,0,val_loss,0.003337601665407419,2443
006,0001,128,0.0008922585651154918,0,val_loss,0.0033026444725692272,2277
006,0020,128,0.0008922585651154918,0,val_loss,0.0032888511195778847,2230
006,0020,128,0.0008922585651154918,0,val_loss,0.0032888511195778847,2230
006,0032,128,0.0008922585651154918,0,val_loss,0.00328344595618546,2229
006,0019,128,0.0008922585651154918,0,val_loss,0.003261592471972108,2207
