gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0508896 	0.00867613 	0.00523055	0.0525998 	1714570042.6140833
1  	40    	0.0470091 	0.0148196  	0.00523055	0.0525998 	1714571274.9801817
2  	40    	0.0349398 	0.0222485  	0.00523055	0.0525998 	1714572504.1726527
3  	40    	0.0150128 	0.0181318  	0.00518917	0.0525998 	1714574740.8640552
4  	40    	0.00562657	0.00124884 	0.00518917	0.010744  	1714577027.1690705
5  	40    	0.00522652	3.28265e-05	0.00518917	0.00539669	1714581150.5470557
6  	40    	0.00521257	1.92136e-05	0.00519591	0.00528529	1714581830.708875 
7  	40    	0.00520079	1.26971e-05	0.00519591	0.00526365	1714582508.187747 
8  	40    	0.00520051	2.7752e-05 	0.00519591	0.00542587	1714583295.3135152
9  	40    	0.00519633	5.84156e-06	0.00519008	0.00524731	1714584140.9531255
