gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0509282 	0.00846952 	0.007253  	0.0525998 	1714267393.132405 
1  	40    	0.0453484 	0.0164634  	0.007253  	0.0525998 	1714267734.9999318
2  	40    	0.0299626 	0.0222262  	0.00718226	0.0525998 	1714267990.1610606
3  	40    	0.0116593 	0.0120139  	0.00702201	0.0525998 	1714268294.053642 
4  	40    	0.00727125	0.000219318	0.00702201	0.00807305	1714268540.6724002
5  	40    	0.00711452	0.000110024	0.0068468 	0.00754955	1714268678.408063 
6  	40    	0.00702574	9.45081e-05	0.0068468 	0.00737828	1714268782.0216465
7  	40    	0.00696836	7.68178e-05	0.0068468 	0.00711721	1714268934.7928922
8  	40    	0.00693194	9.6355e-05 	0.0068468 	0.00730284	1714269066.0962746
9  	40    	0.00687207	6.55173e-05	0.00678532	0.00718594	1714269180.576186 
