iteration,sample,batch_size,learning_rate,metric,result,walltime
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0011,256,0.09431865538796694,0,val_loss,0.05259979888796806,192
004,0009,64,0.0269199423058526,0,val_loss,0.05259979888796806,429
004,0009,64,0.0269199423058526,0,val_loss,0.05259979888796806,429
004,0009,64,0.0269199423058526,0,val_loss,0.05259979888796806,429
004,0009,64,0.0269199423058526,0,val_loss,0.05259979888796806,429
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0004,64,0.022215705996191763,0,val_loss,0.05259979888796806,425
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0006,64,0.0269199423058526,0,val_loss,0.05259979888796806,365
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0005,32,0.0344218753493598,0,val_loss,0.05259979888796806,731
004,0001,512,0.04527696071938705,0,val_loss,0.05259979888796806,163
004,0001,512,0.04527696071938705,0,val_loss,0.05259979888796806,163
004,0001,512,0.04527696071938705,0,val_loss,0.05259979888796806,163
004,0001,512,0.04527696071938705,0,val_loss,0.05259979888796806,163
004,0001,512,0.04527696071938705,0,val_loss,0.05259979888796806,163
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0012,256,0.01249885277547814,0,val_loss,0.05259979888796806,190
004,0015,64,0.019515057063744862,0,val_loss,0.05259979888796806,423
004,0015,64,0.019515057063744862,0,val_loss,0.05259979888796806,423
004,0015,64,0.019515057063744862,0,val_loss,0.05259979888796806,423
004,0015,64,0.019515057063744862,0,val_loss,0.05259979888796806,423
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0003,1024,0.04085140845844538,0,val_loss,0.05259979888796806,133
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0000,128,0.0985980530476665,0,val_loss,0.05259979888796806,214
004,0002,32,0.08251091883782576,0,val_loss,0.05259979888796806,528
004,0002,32,0.08251091883782576,0,val_loss,0.05259979888796806,528
004,0002,32,0.08251091883782576,0,val_loss,0.05259979888796806,528
004,0002,32,0.08251091883782576,0,val_loss,0.05259979888796806,528
004,0002,32,0.08251091883782576,0,val_loss,0.05259979888796806,528
004,0013,128,1e-06,0,val_loss,0.010156519711017609,1075
004,0013,128,1e-06,0,val_loss,0.010156519711017609,1075
004,0013,128,1e-06,0,val_loss,0.010156519711017609,1075
004,0013,128,1e-06,0,val_loss,0.010156519711017609,1075
004,0013,128,1e-06,0,val_loss,0.010156519711017609,1075
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0007,128,1e-06,0,val_loss,0.01010494027286768,991
004,0010,128,0.0005245278010578158,0,val_loss,0.0052925413474440575,720
004,0010,128,0.0005245278010578158,0,val_loss,0.0052925413474440575,720
004,0010,128,0.0005245278010578158,0,val_loss,0.0052925413474440575,720
004,0010,128,0.0005245278010578158,0,val_loss,0.0052925413474440575,720
004,0010,128,0.0005245278010578158,0,val_loss,0.0052925413474440575,720
