gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.114133  	0.011821   	0.00906612	0.115463  	1714765081.9780848
1  	40    	0.110143  	0.0231887  	0.00906612	0.115463  	1714765138.4059887
2  	40    	0.102164  	0.0351875  	0.00906612	0.115463  	1714765192.9975653
3  	40    	0.0666837 	0.0526068  	0.00906612	0.115463  	1714765260.4350138
4  	40    	0.0148009 	0.0231449  	0.00809858	0.115463  	1714765364.2155745
5  	40    	0.00903223	0.000759256	0.00809858	0.0152266 	1714765424.6930263
6  	40    	0.008688  	0.000344524	0.00809858	0.00950574	1714765509.4301965
7  	40    	0.00835137	0.000292286	0.00753075	0.00906612	1714765618.8574905
8  	40    	0.00815484	0.00030633 	0.00753075	0.00924827	1714765731.3172388
9  	40    	0.00800467	0.000322619	0.00753075	0.00883599	1714765844.2797327
