gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0181861 	0.105141   	0.00431585	0.952244  	1713719897.1942427
1  	40    	0.00525946	0.000467949	0.00431585	0.00637434	1713724520.4537694
2  	40    	0.00489778	0.000248611	0.00431585	0.00531629	1713731579.6316106
3  	40    	0.00464537	0.000240544	0.00431585	0.00511547	1713742420.159467 
4  	40    	0.00447058	0.000167631	0.00431585	0.00493056	1713752746.369242 
5  	40    	0.00435371	8.90751e-05	0.00431585	0.00461467	1713764388.6278648
6  	40    	0.00431953	2.29355e-05	0.00431585	0.00446276	1713775517.3193016
7  	40    	0.00432414	5.3027e-05 	0.00431585	0.00477348	1713785250.1671278
8  	40    	0.00432294	6.30083e-05	0.00431585	0.00488297	1713794398.3052669
9  	40    	0.00432374	5.65785e-05	0.00431371	0.00480266	1713805438.6433208
