gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0214513 	0.0564049  	0.00730318	0.40558   	1713405080.4060376
1  	40    	0.00852469	0.000494492	0.00730318	0.010187  	1713408983.1004212
2  	40    	0.00807462	0.000421886	0.00706112	0.00881784	1713412860.4045432
3  	40    	0.00766472	0.000406887	0.00706112	0.00839512	1713416732.404392 
4  	40    	0.00740827	0.000297007	0.00706112	0.00819583	1713421919.3835154
5  	40    	0.00721726	0.000201936	0.00706112	0.00776946	1713426523.1561003
6  	40    	0.00713223	0.000194642	0.00706112	0.00834032	1713432369.6378746
7  	40    	0.00708952	0.000134421	0.00706112	0.00794848	1713440168.0388882
8  	40    	0.00706344	2.05742e-05	0.00706112	0.0072463 	1713444409.8399456
9  	40    	0.00706344	2.05742e-05	0.00706112	0.0072463 	1713449141.7556546
