gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0188635 	0.0238371  	0.00465974	0.104825  	1714799658.250533 
1  	40    	0.00572802	0.00301173 	0.00465974	0.0290388 	1714801154.6627648
2  	40    	0.00483056	0.000116965	0.00459567	0.00549546	1714803311.092459 
3  	40    	0.00472442	7.8127e-05 	0.00457335	0.00487265	1714805569.5453556
4  	40    	0.00466261	6.49623e-05	0.00457335	0.00486667	1714808046.4638517
5  	40    	0.00462828	6.51584e-05	0.00457335	0.00493362	1714810329.6121144
6  	40    	0.00460331	6.44319e-05	0.00457335	0.00493362	1714812443.587274 
7  	40    	0.00458152	8.77567e-06	0.00457335	0.00459567	1714813672.089372 
8  	40    	0.00458448	3.04356e-05	0.00457335	0.0047487 	1714815402.816551 
9  	40    	0.00457704	3.55422e-05	0.00444809	0.00484682	1714816674.9727106
