gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.00401118	0.000926508	0.00304265	0.00756737	1715624141.3850667
1  	40    	0.00324858	0.000206533	0.00304265	0.00396324	1715687333.3517742
2  	40    	0.00309615	5.47851e-05	0.00304265	0.00326156	1715750909.1009693
3  	40    	0.00306519	2.41998e-05	0.00304265	0.00314215	1715820736.7387135
4  	40    	0.00305268	1.67847e-05	0.00304265	0.00314215	1715915794.863045 
5  	40    	0.0030443 	5.52861e-06	0.00303544	0.00307764	1716024804.064135 
6  	40    	0.00304489	1.65575e-05	0.00304109	0.00319031	1716152121.2540452
7  	40    	0.00303906	1.05385e-05	0.00301128	0.00308715	1716298416.8081   
8  	40    	0.00303089	1.35733e-05	0.00300599	0.00304265	1716441259.0166836
9  	40    	0.00302173	1.39954e-05	0.00300599	0.00307665	1716577258.844792 
