iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,16,0.0007773200942392197,val_loss,0.0032201275362683953,11405
001,0001,64,0.0008215213154977866,val_loss,0.0037035918415368363,3937
001,0002,1028,0.0005875698469878525,val_loss,0.0034965999540597058,1513
001,0003,16,0.0002469738749509987,val_loss,0.003948774918303875,11734
001,0004,64,0.00019679604135450297,val_loss,0.004777123325372867,3098
001,0005,64,0.000803386058549136,val_loss,0.0033294653857490406,3150
001,0006,64,0.0005264737024563028,val_loss,0.004060023444477202,3815
001,0007,32,0.00042035837963580333,val_loss,0.0031744148316363175,8204
001,0008,64,7.844801245312527e-05,val_loss,0.0032030727664939637,4118
001,0009,256,0.0005236063299198015,val_loss,0.003198947297566619,1994
001,0010,512,0.00012195454179827393,val_loss,0.004104045076444857,1336
001,0011,128,0.0006668434966936057,val_loss,0.003292444066439106,2660
001,0012,512,0.000254756186678853,val_loss,0.003221173287012885,1728
001,0013,8,0.00021248667125255288,val_loss,0.003109819238929272,23290
001,0014,32,0.0006607162857571042,val_loss,0.0031225718833167537,8869
001,0015,512,0.00032943647040529166,val_loss,0.004555040971978157,1264
002,0000,512,0.0005219211138261751,val_loss,0.0031532076649634076,1267
002,0001,64,0.0008215213154977866,val_loss,0.003189619924863644,4949
002,0002,1028,0.0005875698469878525,val_loss,0.006545537021192555,859
002,0003,64,3.886431574588462e-05,val_loss,0.0033021789143656533,3146
002,0004,8,0.0007375519282127723,val_loss,0.003692992566650057,32864
002,0005,1028,0.0005875698469878525,val_loss,0.0038374532852279448,1366
002,0006,16,0.0007842177818172016,val_loss,0.004705389326440147,18181
002,0007,256,0.0005236063299198015,val_loss,0.0033079765150940297,1778
003,0000,512,0.0003131650961332292,val_loss,0.0032285336448752274,1273
003,0001,512,0.0005155730697617265,val_loss,0.003239737700536292,1506
003,0002,512,0.000254756186678853,val_loss,0.0032753866867150125,1581
003,0003,8,0.00017316068278928892,val_loss,0.0031770079628569594,26614
003,0004,256,0.0006470733450371403,val_loss,0.0031907799672101786,1332
003,0005,32,0.0006607162857571042,val_loss,0.0034779609180444057,9084
003,0006,1028,0.0005131543685250432,val_loss,0.004308624901764432,1392
003,0007,64,3.886431574588462e-05,val_loss,0.0033532373435718865,3347
004,0000,32,0.0007362489726770341,val_loss,0.003604575705575437,7478
004,0001,8,0.00021248667125255288,val_loss,0.0032414977366241747,27545
004,0002,512,0.0005219211138261751,val_loss,0.0030869202143954844,1081
004,0003,16,9.634739449231058e-05,val_loss,0.00309214056988171,12655
004,0004,8,0.00021248667125255288,val_loss,0.0032243183968988,28460
004,0005,32,0.0006607162857571042,val_loss,0.0031147209915584027,6957
004,0006,8,0.0001938966317089042,val_loss,0.0030980848390066346,30152
004,0007,1028,0.0005219211138261751,val_loss,0.0037018898655077916,1271
