gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.00823145	0.00385525 	0.00703849	0.0369123 	1715075835.583771 
1  	40    	0.00716505	8.71961e-05	0.00701788	0.00740085	1715112770.3674965
2  	40    	0.00708894	4.98087e-05	0.0070088 	0.00717632	1715146406.8972378
3  	40    	0.00705268	4.06665e-05	0.00700796	0.00716221	1715203486.3309526
4  	40    	0.00702234	2.33272e-05	0.00700796	0.00714416	1715266402.571802 
5  	40    	0.00701364	1.29618e-05	0.00700796	0.00709693	1715327421.045533 
6  	40    	0.00700767	9.87269e-06	0.00696349	0.00704879	1715385518.399409 
7  	40    	0.00700133	1.60062e-05	0.00696349	0.007011  	1715440058.692208 
8  	40    	0.00699411	2.15161e-05	0.00696349	0.00705416	1715484680.798542 
9  	40    	0.006982  	2.33429e-05	0.00696349	0.00706923	1715536107.5107822
