iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,32,0.0005191057704071576,0,val_loss,0.005285031049326216,2273
001,0001,256,2.19882968879108e-05,0,val_loss,0.0098292214918841,273
001,0002,512,0.00037934837734316496,0,val_loss,0.006658605116406284,519
001,0003,256,0.0009400453029138079,0,val_loss,0.005418927485787773,532
001,0004,256,0.0007794423978320019,0,val_loss,0.006399135341339095,764
001,0005,128,0.000954962523982393,0,val_loss,0.005702196180992173,858
001,0006,128,3.9725321424149825e-05,0,val_loss,0.005542756385944639,1203
001,0007,1028,4.214640635292889e-05,0,val_loss,0.005811743438582276,422
001,0008,512,0.0006237171054100776,0,val_loss,0.005673652221455073,607
001,0009,128,0.00010170934670248047,0,val_loss,0.005536331870750427,680
001,0010,64,0.0003167985808756253,0,val_loss,0.006110613051060286,1106
001,0011,8,0.0008651043942683303,0,val_loss,0.005376589699350792,6705
001,0012,1028,0.00023488779548986826,0,val_loss,0.008533958793292724,454
001,0013,512,0.00033587734671166784,0,val_loss,0.01498457315093151,245
001,0014,512,0.0003724168141660418,0,val_loss,0.00612258649859114,561
001,0015,64,0.00016621142448394215,0,val_loss,0.005360405076529869,1246
002,0000,32,0.0005590434554280367,0,val_loss,0.005251470964272884,1939
002,0001,256,0.00033333252762543134,0,val_loss,0.005372958386312481,582
002,0002,128,3.9725321424149825e-05,0,val_loss,0.005556537968041858,909
002,0003,1028,0.0005475342602167324,0,val_loss,0.0061122938025381345,625
002,0004,256,0.0007634223322012842,0,val_loss,0.0059937332961376094,555
002,0005,64,0.00017586551309496925,0,val_loss,0.005487985422531915,1238
002,0006,8,0.0008651043942683303,0,val_loss,0.0054173591213045455,7760
002,0007,64,0.0003167985808756253,0,val_loss,0.005939062864900515,1099
003,0000,16,0.0005590434554280367,0,val_loss,0.005471638877552023,4737
003,0001,64,0.000954962523982393,0,val_loss,0.005366097320695002,1656
003,0002,32,0.0005590434554280367,0,val_loss,0.00539805295902048,3883
003,0003,64,0.00015256676224641315,0,val_loss,0.005378409543109296,1364
003,0004,512,0.0006237171054100776,0,val_loss,0.005685951625382325,544
003,0005,32,0.0005527682429921456,0,val_loss,0.005370351111465365,2749
003,0006,32,0.0002146675328029603,0,val_loss,0.00526660531977263,2467
003,0007,32,0.0005590434554280367,0,val_loss,0.00540129506184118,3272
004,0000,32,0.0005586524532907361,0,val_loss,0.005301014746324641,2884
004,0001,64,0.00048758522392302543,0,val_loss,0.0053928798626888055,1438
004,0002,64,0.0005527682429921456,0,val_loss,0.0053686013161900635,1098
004,0003,32,0.0005590434554280367,0,val_loss,0.0053202577927225405,1897
004,0004,64,0.0005590434554280367,0,val_loss,0.005459192798328812,1384
004,0005,32,0.0005527682429921456,0,val_loss,0.005312676724977942,2497
004,0006,128,0.0005058417379141607,0,val_loss,0.005234683561837693,912
004,0007,32,0.00016621142448394215,0,val_loss,0.005390191642943295,2410
