gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.0254122 	0.0270773  	0.00733882	0.120222  	1714782237.8061166
1  	40    	0.00948118	0.0035834  	0.00733882	0.0288545 	1714782943.3991604
2  	40    	0.00755239	0.000689257	0.00707246	0.0132062 	1714784333.513886 
3  	40    	0.00732172	0.000117484	0.00707246	0.00763472	1714786361.8049302
4  	40    	0.00723465	0.000133933	0.00705117	0.00764797	1714788230.0638304
5  	40    	0.00711469	0.000129666	0.0067495 	0.00734833	1714789986.259416 
6  	40    	0.0070292 	0.00013067 	0.0067495 	0.007318  	1714791775.626245 
7  	40    	0.00695157	0.000174843	0.0067495 	0.00752343	1714793295.6030965
8  	40    	0.00684001	0.000147555	0.0067495 	0.00737794	1714795399.9948933
9  	40    	0.0067709 	8.765e-05  	0.0067495 	0.00730439	1714797467.3065376
