iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,16,0.0003642314805203391,val_loss,0.00813145333643479,234
001,0001,32,0.00023616142305772018,val_loss,0.007807533415941592,191
001,0002,1028,0.0008038550722521798,val_loss,0.025223417443236147,38
001,0003,32,8.329028390235976e-05,val_loss,0.010260167389059174,192
001,0004,32,0.0008434053110179821,val_loss,0.007097294089191427,162
001,0005,256,0.00024226595938049716,val_loss,0.0676055380222777,34
001,0006,16,0.00029850191979512365,val_loss,0.009253945840047257,308
001,0007,16,0.0003377873573154834,val_loss,0.00788787946200613,252
001,0008,256,0.0002739283823407669,val_loss,0.01565008495689102,39
001,0009,64,0.0009485903529973601,val_loss,0.015079709866605378,48
001,0010,512,0.00027202424530241125,val_loss,0.017495513747074507,32
001,0011,256,0.0008529063017050384,val_loss,0.030278309063506783,42
001,0012,16,0.00022478471312078194,val_loss,0.008065467883598354,251
001,0013,256,0.0006903437146103354,val_loss,0.03733231392618466,40
001,0014,1028,0.0005506485519731648,val_loss,0.014099564939387141,37
001,0015,512,8.60559173025886e-05,val_loss,0.011655646936679828,55
002,0000,256,0.0002577714329746072,val_loss,0.01255465528027753,36
002,0001,16,0.00022478471312078194,val_loss,0.008181139660308957,296
002,0002,16,0.0003894249603942473,val_loss,0.007521587085375669,293
002,0003,512,0.0006903437146103354,val_loss,0.015179226636647903,36
002,0004,512,9.233606891375009e-05,val_loss,0.020090613781576627,38
002,0005,256,0.0006583526303778426,val_loss,0.037715194033516135,38
002,0006,16,0.0003642314805203391,val_loss,0.0073442880196626,297
002,0007,64,0.0009485903529973601,val_loss,0.009710436306100302,119
003,0000,16,0.0003894249603942473,val_loss,0.007766637109135529,241
003,0001,1028,0.0005506485519731648,val_loss,0.03459839465769839,33
003,0002,16,0.0003377873573154834,val_loss,0.007312161461359262,201
003,0003,8,0.0003956925023695544,val_loss,0.007557071574947046,557
003,0004,64,0.0002641457261639344,val_loss,0.011251806408785429,109
003,0005,16,0.00038628354188820804,val_loss,0.0076308551740271145,209
003,0006,32,0.0002752413353161077,val_loss,0.010351637477901535,77
003,0007,16,0.0003642314805203391,val_loss,0.00759997600587183,295
004,0000,16,0.0004128937823375493,val_loss,0.00751447210891357,289
004,0001,16,0.0003894249603942473,val_loss,0.007451254759663816,285
004,0002,16,0.00035510160484452665,val_loss,0.007641618217336839,252
004,0003,16,0.0003894249603942473,val_loss,0.007977127171141418,256
004,0004,16,0.0003642314805203391,val_loss,0.007569612944476998,225
004,0005,8,0.0003990768431920874,val_loss,0.008784507465190152,429
004,0006,16,0.0003377873573154834,val_loss,0.00784164877077954,235
004,0007,32,0.000861958362517888,val_loss,0.007837102343415805,181
