gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.00597318	0.000652962	0.00468203	0.00708724	1709762738.0594637
1  	40    	0.00530712	0.000445529	0.0047652 	0.00661797	1709763219.273937 
2  	40    	0.00489564	0.000131254	0.00471056	0.00536353	1709763688.396783 
3  	40    	0.00477468	5.47249e-05	0.0046987 	0.00492667	1709764289.2148962
4  	40    	0.00472733	2.58542e-05	0.00466872	0.0047947 	1709765014.5268176
5  	40    	0.0047089 	1.27589e-05	0.00468094	0.0047652 	1709766967.0030417
6  	40    	0.00470115	8.42014e-06	0.00468094	0.00471991	1709768892.2021313
7  	40    	0.00469116	1.4023e-05 	0.00463569	0.00471056	1709771009.8103178
8  	40    	0.0046717 	2.64815e-05	0.00460347	0.0046987 	1709772877.9844236
9  	40    	0.00464666	2.98357e-05	0.00460347	0.00469033	1709775115.5968666
