gen	nevals	avg       	std        	min       	max       	ts                
0  	80    	0.00973837	0.00147664 	0.00748927	0.0124329 	1709750426.4333217
1  	40    	0.0082603 	0.000704201	0.00748927	0.0103376 	1709750524.9227858
2  	40    	0.00768589	0.000179074	0.00748927	0.00828543	1709750889.1858213
3  	40    	0.00756254	6.58366e-05	0.00748927	0.00767257	1709751481.4085705
4  	40    	0.00749265	6.19395e-05	0.00726795	0.00759804	1709752314.6761096
5  	40    	0.00746714	6.63948e-05	0.00726795	0.00748927	1709752976.7709115
6  	40    	0.00742564	0.000100167	0.00726795	0.00748927	1709753601.7143235
7  	40    	0.00733384	9.87679e-05	0.00726795	0.00748927	1709754343.1129434
8  	40    	0.0072777 	4.29101e-05	0.00726795	0.00748927	1709755367.8249557
9  	40    	0.00727154	3.19089e-05	0.00726795	0.00755516	1709756598.767597 
