iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,64,9.109536930646485e-05,val_loss,0.005315394679737385,4866
001,0001,128,0.0002577888085473687,val_loss,0.006743225668326143,4455
001,0002,1028,0.00013406964635354952,val_loss,0.005634248585177838,3531
001,0003,64,0.0009906261356282403,val_loss,0.007524419549786257,4947
001,0004,128,0.000733703372968379,val_loss,0.00652497366874894,4410
001,0005,256,0.0001311679774742429,val_loss,0.005302929334034071,3690
001,0006,512,4.849203576468937e-05,val_loss,0.006111191980160715,3611
001,0007,512,0.0009582340111520902,val_loss,0.0058880704777578025,3606
001,0008,256,0.0003338832739147012,val_loss,0.005242880447554493,3604
001,0009,64,0.000958789177267077,val_loss,0.007531226324296116,4959
001,0010,256,0.0009890782141979142,val_loss,0.0072867596890279175,3647
001,0011,128,0.000439030684737506,val_loss,0.023818033362749354,4495
001,0012,128,0.0006178460640458801,val_loss,0.006488742498306024,4427
001,0013,1028,8.8293728395555e-05,val_loss,0.005462587357912767,3549
001,0014,1028,0.00012313036472407282,val_loss,0.006871359737621672,3564
001,0015,128,0.0005968133517029453,val_loss,0.0072611706761611826,4432
002,0000,256,0.0002577888085473687,val_loss,0.0072038829570715765,3619
002,0001,1028,0.00018133593632573,val_loss,0.005574846535821272,3517
002,0002,128,0.0002991521169412771,val_loss,0.007265086412553706,4492
002,0003,256,0.00032925222055089107,val_loss,0.005322350191607362,3676
002,0004,128,0.0005744182326396464,val_loss,0.007416485554920146,4458
002,0005,256,0.0009406317011395526,val_loss,0.007628517352104069,3627
002,0006,128,0.00041449214540351044,val_loss,0.007367220043886653,4532
002,0007,128,0.0006178460640458801,val_loss,0.0074515909668534655,4381
003,0000,1028,0.0002507451004821409,val_loss,0.005590117112424627,3542
003,0001,64,9.109536930646485e-05,val_loss,0.006929206540772404,4822
003,0002,256,0.0003006444041783787,val_loss,0.0053700004073414884,3681
003,0003,64,9.109536930646485e-05,val_loss,0.005177084340604254,4862
003,0004,256,0.00032925222055089107,val_loss,0.005755696131969612,3627
003,0005,1028,2.3397745880279232e-05,val_loss,0.006374172949650743,3545
003,0006,1028,6.261670083729365e-05,val_loss,0.03575865617922196,3567
003,0007,256,0.00032925222055089107,val_loss,0.007405709035123636,3604
004,0000,256,0.00028466097241137777,val_loss,0.005159698716449973,3637
004,0001,256,0.00021761960698157408,val_loss,0.005483022754997004,3623
004,0002,128,0.0003338832739147012,val_loss,0.00720189896665568,4463
004,0003,128,0.0003357650409694627,val_loss,0.0073838305163430205,4460
004,0004,256,1e-06,val_loss,0.014989029331454271,3629
004,0005,64,0.0001183138273519537,val_loss,0.0073402975701969886,4935
004,0006,256,0.00033329516267388234,val_loss,0.0073534366167457245,3644
004,0007,256,0.00033352216857166585,val_loss,0.005501981233424195,3651
