iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,64,0.00010791800805744804,0,val_loss,0.010452990573655927,4864
001,0001,1028,0.0009380840250592178,0,val_loss,0.01180796157718084,3515
001,0002,64,0.0007619282449560382,0,val_loss,0.011599086973137754,4841
001,0003,64,9.947745519677597e-05,0,val_loss,0.009886468282350267,4935
001,0004,256,0.00036146651119244765,0,val_loss,0.012048063077384454,3590
001,0005,128,2.18431820219191e-05,0,val_loss,0.009754388877774118,4443
001,0006,512,0.0004195291315855812,0,val_loss,0.010315944017239856,3558
001,0007,512,0.0007373544791187881,0,val_loss,0.011748463909615637,3605
001,0008,512,0.0008546058175187745,0,val_loss,0.01166609338631305,3574
001,0009,1028,0.0004306021194634748,0,val_loss,0.011756432153742695,3521
001,0010,64,0.0005890657029483349,0,val_loss,0.011591838548408435,4861
001,0011,64,0.0005205907986192791,0,val_loss,0.011542154238113837,4837
001,0012,128,0.0006928141698057886,0,val_loss,0.011529178324651302,4469
001,0013,128,0.0002858405376678717,0,val_loss,0.011289998252808938,4469
001,0014,256,0.00032991130332534304,0,val_loss,0.011609713410750776,3589
001,0015,1028,0.0005449904444634068,0,val_loss,0.011529001261156866,3489
002,0000,1028,0.0005449904444634068,0,val_loss,0.012042257102725063,3469
002,0001,1028,0.0004195291315855812,0,val_loss,0.019256840197128023,3554
002,0002,1028,0.0004306021194634748,0,val_loss,0.010786394855325275,3454
002,0003,256,0.00032991130332534304,0,val_loss,0.011473680149426648,3602
002,0004,1028,0.0005872923504533857,0,val_loss,0.010346514568999375,3522
002,0005,256,0.00032991130332534304,0,val_loss,0.01171998306870116,3628
002,0006,128,0.00032991130332534304,0,val_loss,0.011561453464971014,4315
002,0007,1028,0.0005931622728812416,0,val_loss,0.011305471507215626,3486
003,0000,128,0.0005872923504533857,0,val_loss,0.011533887046371613,4426
003,0001,128,2.18431820219191e-05,0,val_loss,0.009641020602935767,4416
003,0002,1028,0.0004306021194634748,0,val_loss,0.010586755877959313,3528
003,0003,1028,0.0005608282288227268,0,val_loss,0.010272455951806668,3461
003,0004,1028,0.0002858405376678717,0,val_loss,0.028741480432226674,3516
003,0005,1028,0.0005872923504533857,0,val_loss,0.011542163640413227,3570
003,0006,512,0.0005230935889758638,0,val_loss,0.010791464381936547,3607
003,0007,1028,0.0005872923504533857,0,val_loss,0.01109080457716554,3514
004,0000,128,2.18431820219191e-05,0,val_loss,0.009614616130835448,4419
004,0001,128,9.947745519677597e-05,0,val_loss,0.00921910216625824,4358
004,0002,1028,2.18431820219191e-05,0,val_loss,0.010650929079563543,3529
004,0003,1028,0.0005872923504533857,0,val_loss,0.010269634558387964,3566
004,0004,1028,0.0005872923504533857,0,val_loss,0.01008248178987138,3519
004,0005,128,2.18431820219191e-05,0,val_loss,0.010941978315685295,4384
004,0006,128,2.18431820219191e-05,0,val_loss,0.009584475603416118,4374
004,0007,128,2.18431820219191e-05,0,val_loss,0.009925363018218496,4425
