iteration,sample,batch_size,learning_rate,metric,result,walltime
001,0000,64,0.00026683492871474267,0,val_loss,0.013964652563826752,624
001,0001,512,7.092892399034623e-05,0,val_loss,0.00938879999042024,501
001,0002,64,0.0009628298410265689,0,val_loss,0.014259005259907658,578
001,0003,1028,0.00039402928404421323,0,val_loss,0.013133425989885377,381
001,0004,512,3.269318310829181e-05,0,val_loss,0.011112779128369952,505
001,0005,64,0.00030633351354372024,0,val_loss,0.014329844375189431,537
001,0006,256,0.000676541251518258,0,val_loss,0.010761452346780997,495
001,0007,1028,0.0008846721251895328,0,val_loss,0.011176118014638012,392
001,0008,256,0.0006490214446544417,0,val_loss,0.014669671841095971,481
001,0009,256,4.093899463074276e-05,0,val_loss,0.009935142052064354,504
001,0010,256,0.000805060246377382,0,val_loss,0.011090622009439104,484
001,0011,256,0.00018976546752007528,0,val_loss,0.010002380095684455,408
001,0012,512,0.0007732014641428694,0,val_loss,0.01035371269706725,491
001,0013,128,0.00012357552800303814,0,val_loss,0.00965644396562179,567
001,0014,512,0.00035222587274817506,0,val_loss,0.010115552245996282,494
001,0015,128,0.0007264065040689945,0,val_loss,0.014243797113734547,598
002,0000,256,7.092892399034623e-05,0,val_loss,0.008769126777705784,439
002,0001,64,0.00028933797562193483,0,val_loss,0.014298016237680657,552
002,0002,128,0.0007264065040689945,0,val_loss,0.014442887639628789,464
002,0003,1028,0.0007985371923032064,0,val_loss,0.011027233168674723,484
002,0004,64,0.0002964686386155737,0,val_loss,0.014280434549671749,655
002,0005,1028,0.0003110604870372636,0,val_loss,0.009298454167052163,481
002,0006,256,0.0004396324373031894,0,val_loss,0.011102772535847467,490
002,0007,256,0.000676541251518258,0,val_loss,0.013948389073544542,483
003,0000,512,7.276584427948625e-05,0,val_loss,0.009317285504018061,483
003,0001,256,0.0006743227449632667,0,val_loss,0.010812375939960326,397
003,0002,128,0.00013047651202547557,0,val_loss,0.009694104755398057,565
003,0003,128,4.681601701675531e-05,0,val_loss,0.009041766473174713,596
003,0004,512,1e-06,0,val_loss,0.06565099666138091,481
003,0005,512,7.092892399034623e-05,0,val_loss,0.010052510946028041,487
003,0006,512,4.160218424099514e-05,0,val_loss,0.010343407946230667,457
003,0007,128,0.00014428003793503746,0,val_loss,0.009747321725677938,577
004,0000,128,0.00010343723030559189,0,val_loss,0.010370800297443946,469
004,0001,128,0.00012357552800303814,0,val_loss,0.008988543014461382,588
004,0002,128,0.00012037661468722202,0,val_loss,0.009640052275847395,557
004,0003,512,7.092892399034623e-05,0,val_loss,0.009114503667528221,479
004,0004,1028,0.0003110604870372636,0,val_loss,0.0109305567048583,489
004,0005,128,7.092892399034623e-05,0,val_loss,0.00919884158502892,576
004,0006,1028,0.00029261309723539194,0,val_loss,0.01009627658115308,480
004,0007,256,0.0001143642726088996,0,val_loss,0.009235438145581072,492
